GOI,NON_GOI,mcc,TP,TN,FP,FN,sensitivity,specificity,untypeable,snp_sets,partition,type
0.753368350815477,0.753368350815477,0.753368350815477,11581,15666,1753,2006,0.852358872451608,0.899362764797061,71,"1274076, 627498, 2152348, 115888, 407868",all,mcc
0.96772245658099,0.96772245658099,0.96772245658099,752,1631,26,8,0.989473684210526,0.984308992154496,0,"1273965, 1556892, 978615, 888705, 645098",training,mcc
0.703830418745705,0.703830418745705,0.703830418745705,11114,13246,2483,1743,0.8644318270203,0.842138724648738,74,"1273965, 1556892, 978615, 888705, 645098",validation,mcc
0.723619566334496,0.723619566334496,0.723619566334496,11866,14877,2509,1751,0.871410736579276,0.855688484987921,74,"1273965, 1556892, 978615, 888705, 645098",all,mcc
0.96772245658099,0.96772245658099,0.96772245658099,752,1631,26,8,0.989473684210526,0.984308992154496,0,"1273967, 1556892, 978615, 888705, 645098",training,mcc
0.703830418745705,0.703830418745705,0.703830418745705,11114,13246,2483,1743,0.8644318270203,0.842138724648738,74,"1273967, 1556892, 978615, 888705, 645098",validation,mcc
0.723619566334496,0.723619566334496,0.723619566334496,11866,14877,2509,1751,0.871410736579276,0.855688484987921,74,"1273967, 1556892, 978615, 888705, 645098",all,mcc
0.975987270751429,0.975987270751429,0.975987270751429,746,1646,11,14,0.981578947368421,0.993361496680748,0,"429172, 1491180, 663810, 2154985, 1273190",training,mcc
0.759819764903566,0.759819764903566,0.759819764903566,10858,14162,1400,1974,0.846165835411471,0.910037270273744,266,"429172, 1491180, 663810, 2154985, 1273190",validation,mcc
0.775824104830343,0.775824104830343,0.775824104830343,11604,15808,1411,1988,0.853737492642731,0.918055636215808,266,"429172, 1491180, 663810, 2154985, 1273190",all,mcc
0.977896274094948,0.977896274094948,0.977896274094948,743,1651,6,17,0.977631578947368,0.996378998189499,0,"1942413, 292442, 1088625, 196093, 1601104",training,mcc
0.832577447281618,0.832577447281618,0.832577447281618,11954,14126,1565,822,0.935660613650595,0.900261296284494,193,"1942413, 292442, 1088625, 196093, 1601104",validation,mcc
0.84341993287755,0.84341993287755,0.84341993287755,12697,15777,1571,839,0.938017139479905,0.90944201060641,193,"1942413, 292442, 1088625, 196093, 1601104",all,mcc
0.97596836780135,0.97596836780135,0.97596836780135,743,1649,8,17,0.977631578947368,0.995171997585999,0,"1232129, 1988909, 463872, 39733, 196093",training,mcc
0.883387704513787,0.883387704513787,0.883387704513787,11877,15060,702,946,0.926226312095453,0.955462504758279,75,"1232129, 1988909, 463872, 39733, 196093",validation,mcc
