NON_GOI,GOI,mcc,TP,TN,FP,FN,sensitivity,specificity,untypeable,snp_sets,partition,type,set
0.910751908132853,0.910751908132853,0.910751908132853,478,5650,7,81,0.855098389982111,0.998762595015026,0,"3047, 60060, 59589, 804, 77755",training,mcc,1
0.905970831266096,0.905970831266096,0.905970831266096,1869,22631,58,303,0.860497237569061,0.997443695182688,0,"3047, 60060, 59589, 804, 77755",validation,mcc,1
0.906928691325274,0.906928691325274,0.906928691325274,2347,28281,65,384,0.859392164042475,0.997706907500176,0,"3047, 60060, 59589, 804, 77755",all,mcc,1
0.908919226248006,0.908919226248006,0.908919226248006,487,5639,18,72,0.871198568872988,0.996818101467209,0,"28320, 60060, 59589, 804, 32316",training,mcc,1
0.913372641111336,0.913372641111336,0.913372641111336,1925,22599,89,246,0.886688162137264,0.996077221438646,2,"28320, 60060, 59589, 804, 32316",validation,mcc,1
0.912455926721134,0.912455926721134,0.912455926721134,2412,28238,107,318,0.883516483516484,0.996225083789028,2,"28320, 60060, 59589, 804, 32316",all,mcc,1
0.907865941620661,0.907865941620661,0.907865941620661,486,5639,18,73,0.869409660107335,0.996818101467209,0,"55411, 60060, 59589, 804, 77271",training,mcc,1
0.914289605741635,0.914289605741635,0.914289605741635,1919,22610,79,252,0.883924458774758,0.996518136541937,1,"55411, 60060, 59589, 804, 77271",validation,mcc,1
0.912977770567662,0.912977770567662,0.912977770567662,2405,28249,97,325,0.880952380952381,0.99657800042334,1,"55411, 60060, 59589, 804, 77271",all,mcc,1
0.90883255596934,0.90883255596934,0.90883255596934,485,5641,16,74,0.867620751341682,0.99717164574863,0,"47433, 60060, 77271, 59589, 804",training,mcc,1
0.913051903692098,0.913051903692098,0.913051903692098,1921,22603,86,250,0.884845693228927,0.99620961699502,1,"47433, 60060, 77271, 59589, 804",validation,mcc,1
0.912178156486562,0.912178156486562,0.912178156486562,2406,28244,102,324,0.881318681318681,0.996401608692585,1,"47433, 60060, 77271, 59589, 804",all,mcc,1
0.91081089863157,0.91081089863157,0.91081089863157,483,5645,12,76,0.864042933810376,0.997878734311472,0,"24661, 60060, 77807, 59589, 804",training,mcc,1
0.900638916834922,0.900638916834922,0.900638916834922,1877,22602,87,295,0.864180478821363,0.996165542774031,0,"24661, 60060, 77807, 59589, 804",validation,mcc,1
0.902691472864748,0.902691472864748,0.902691472864748,2360,28247,99,371,0.864152325155621,0.996507443731038,0,"24661, 60060, 77807, 59589, 804",all,mcc,1
0.906112357481173,0.906112357481173,0.906112357481173,435,5696,17,67,0.866533864541833,0.997024330474357,0,"75022, 60053, 21781, 16333, 59939",training,mcc,2
0.912908169141186,0.912908169141186,0.912908169141186,1962,22555,78,266,0.880610412926392,0.996553704767375,1,"75022, 60053, 21781, 16333, 59939",validation,mcc,2
0.91166690838626,0.91166690838626,0.91166690838626,2397,28251,95,333,0.878021978021978,0.996648557115642,1,"75022, 60053, 21781, 16333, 59939",all,mcc,2
0.910474574736,0.910474574736,0.910474574736,432,5703,10,70,0.860557768924303,0.998249606161386,0,"81607, 60053, 59958, 59589, 804",training,mcc,2
0.915754562537343,0.915754562537343,0.915754562537343,1942,22587,46,286,0.871633752244165,0.997967569478195,1,"81607, 60053, 59958, 59589, 804",validation,mcc,2
0.91479204824215,0.91479204824215,0.91479204824215,2374,28290,56,356,0.86959706959707,0.998024412615537,1,"81607, 60053, 59958, 59589, 804",all,mcc,2
0.909292052398155,0.909292052398155,0.909292052398155,430,5704,9,72,0.856573705179283,0.998424645545248,0,"28320, 60053, 59958, 59589, 804",training,mcc,2
0.917010903690049,0.917010903690049,0.917010903690049,1931,22603,30,297,0.866696588868941,0.998674501833606,1,"28320, 60053, 59958, 59589, 804",validation,mcc,2
0.915596627622085,0.915596627622085,0.915596627622085,2361,28307,39,369,0.864835164835165,0.998624144500106,1,"28320, 60053, 59958, 59589, 804",all,mcc,2
0.909265873613041,0.909265873613041,0.909265873613041,428,5706,7,74,0.852589641434263,0.99877472431297,0,"55411, 60053, 59958, 59589, 804",training,mcc,2
0.912554199400073,0.912554199400073,0.912554199400073,1906,22611,22,322,0.855475763016158,0.999027968011311,1,"55411, 60053, 59958, 59589, 804",validation,mcc,2
0.911956792796765,0.911956792796765,0.911956792796765,2334,28317,29,396,0.854945054945055,0.998976927961617,1,"55411, 60053, 59958, 59589, 804",all,mcc,2
0.906951419287275,0.906951419287275,0.906951419287275,427,5705,8,75,0.850597609561753,0.998599684929109,0,"48426, 60053, 59958, 59589, 804",training,mcc,2
0.914917333815382,0.914917333815382,0.914917333815382,1925,22601,32,303,0.864003590664273,0.99858613528918,1,"48426, 60053, 59958, 59589, 804",validation,mcc,2
0.913459962029111,0.913459962029111,0.913459962029111,2352,28306,40,378,0.861538461538462,0.998588866153955,1,"48426, 60053, 59958, 59589, 804",all,mcc,2
0.904888870303004,0.904888870303004,0.904888870303004,433,5697,16,69,0.862549800796813,0.997199369858218,0,"50410, 60053, 59958, 59589, 804",training,mcc,2
0.922767289485304,0.922767289485304,0.922767289485304,1957,22599,34,271,0.878366247755835,0.998497768744753,1,"50410, 60053, 59958, 59589, 804",validation,mcc,2
0.919465540123003,0.919465540123003,0.919465540123003,2390,28296,50,340,0.875457875457876,0.998236082692443,1,"50410, 60053, 59958, 59589, 804",all,mcc,2
0.906987368805808,0.906987368805808,0.906987368805808,429,5703,10,73,0.854581673306773,0.998249606161386,0,"3045, 60053, 59958, 59589, 804",training,mcc,2
0.919372986494849,0.919372986494849,0.919372986494849,1944,22599,34,284,0.872531418312388,0.998497768744753,1,"3045, 60053, 59958, 59589, 804",validation,mcc,2
0.917101113603759,0.917101113603759,0.917101113603759,2373,28302,44,357,0.869230769230769,0.99844775276935,1,"3045, 60053, 59958, 59589, 804",all,mcc,2
0.905848590341187,0.905848590341187,0.905848590341187,429,5702,11,73,0.854581673306773,0.998074566777525,0,"3047, 60053, 59958, 59589, 804",training,mcc,2
0.918855470829392,0.918855470829392,0.918855470829392,1944,22597,36,284,0.872531418312388,0.998409402200327,1,"3047, 60053, 59958, 59589, 804",validation,mcc,2
0.916468661059603,0.916468661059603,0.916468661059603,2373,28299,47,357,0.869230769230769,0.998341917730897,1,"3047, 60053, 59958, 59589, 804",all,mcc,2
0.903446241620511,0.903446241620511,0.903446241620511,421,5708,5,81,0.838645418326693,0.999124803080693,0,"77271, 60053, 59958, 10511, 59589",training,mcc,2
0.912305289224137,0.912305289224137,0.912305289224137,1899,22617,16,329,0.852333931777379,0.99929306764459,1,"77271, 60053, 59958, 10511, 59589",validation,mcc,2
0.910683514569161,0.910683514569161,0.910683514569161,2320,28325,21,410,0.84981684981685,0.999259154730826,1,"77271, 60053, 59958, 10511, 59589",all,mcc,2
0.901120259246346,0.901120259246346,0.901120259246346,422,5705,8,80,0.840637450199203,0.998599684929109,0,"47433, 60053, 59958, 59589, 804",training,mcc,2
0.91176324608251,0.91176324608251,0.91176324608251,1906,22608,25,322,0.855475763016158,0.998895418194672,1,"47433, 60053, 59958, 59589, 804",validation,mcc,2
0.909812351600745,0.909812351600745,0.909812351600745,2328,28313,33,402,0.852747252747253,0.998835814577013,1,"47433, 60053, 59958, 59589, 804",all,mcc,2
0.92226043269504,0.92226043269504,0.92226043269504,532,5601,16,66,0.889632107023411,0.997151504361759,0,"75022, 60053, 64789, 32316, 59589",training,mcc,3
0.906722950913345,0.906722950913345,0.906722950913345,1855,22650,76,277,0.870075046904315,0.996655812725513,4,"75022, 60053, 64789, 32316, 59589",validation,mcc,3
0.910129137762413,0.910129137762413,0.910129137762413,2387,28251,92,343,0.874358974358975,0.996754048618707,4,"75022, 60053, 64789, 32316, 59589",all,mcc,3
0.928243048234603,0.928243048234603,0.928243048234603,541,5598,19,57,0.904682274247492,0.996617411429589,0,"50410, 60053, 32316, 59589, 804",training,mcc,3
0.911874823388434,0.911874823388434,0.911874823388434,1898,22626,102,234,0.890243902439024,0.995512143611404,2,"50410, 60053, 32316, 59589, 804",validation,mcc,3
0.915444330366903,0.915444330366903,0.915444330366903,2439,28224,121,291,0.893406593406593,0.995731169518434,2,"50410, 60053, 32316, 59589, 804",all,mcc,3
0.920336138616328,0.920336138616328,0.920336138616328,531,5600,17,67,0.887959866220736,0.996973473384369,0,"48426, 60053, 32316, 59589, 804",training,mcc,3
0.907488059933961,0.907488059933961,0.907488059933961,1870,22639,89,262,0.877110694183865,0.99608412530799,2,"48426, 60053, 32316, 59589, 804",validation,mcc,3
0.910293404506887,0.910293404506887,0.910293404506887,2401,28239,106,329,0.87948717948718,0.996260363379785,2,"48426, 60053, 32316, 59589, 804",all,mcc,3
